Source,Target,Weight
105,2072,3
105,2074,3
105,2075,2
105,2112,6
105,2117,4
105,2119,2
105,2152,14
105,2249,3
105,2251,3
105,2262,4
105,2339,6
105,2360,4
105,2410,10
105,2413,1
105,2494,9
105,2637,7
105,2652,16
105,2668,3
105,2670,5
105,2735,3
105,2821,6
105,2976,2
105,3136,2
105,3137,4
105,3149,6
105,3152,1
105,3155,2
105,3161,2
105,3193,6
105,3203,3
105,3274,12
105,3304,3
105,3349,7
105,3394,4
105,3491,3
105,3533,2
105,3676,5
105,3815,2
105,3914,12
105,3915,12
105,3916,12
105,3917,12
105,3918,12
105,3919,2
105,3920,2
105,3921,2
105,3922,2
105,3923,2
105,3924,2
105,3928,5
105,3929,5
105,3938,4
105,4500,12
105,4501,12
105,4556,2
105,4558,10
105,4638,3
105,4639,3
105,4698,4
105,4797,4
105,4929,11
105,4930,1
105,4993,1
105,5090,2
105,5516,5
105,5822,2
105,5876,7
105,5877,12
105,5880,12
105,6111,8
105,6121,4
105,6122,4
105,6157,84
105,6338,2
105,6358,3
105,6444,6
105,6515,7
105,6522,4
105,6735,3
105,6813,5
105,7016,4
105,7292,5
105,7301,3
105,7369,4
105,7502,5
105,7511,20
105,7637,7
105,7765,3
105,7932,12
105,7934,12
105,8435,4
105,8495,84
105,8496,12
105,8508,2
105,8743,1
105,8774,84
105,8784,5
105,8823,3
105,8866,1
105,9115,6
105,9155,5
105,9157,17
105,9366,4
105,9372,4
105,9379,1
105,9388,3
105,9580,84
105,9581,84
105,9615,2
105,9616,2
105,9617,2
105,9666,12
105,9667,2
105,9676,12
105,9736,11
105,9737,11
105,9738,11
105,9743,3
105,9787,3
105,9850,7
105,9851,7
105,9852,7
105,9937,5
105,9977,4
105,9978,4
105,9979,4
105,9980,4
105,9981,4
105,9982,4
105,9983,4
105,10027,6
105,10472,12
105,10608,3
105,10615,10
105,10626,1
105,10632,1
105,10694,3
105,10741,5
105,10761,6
105,10763,6
105,10859,4
105,10863,1
105,10917,1
105,10935,3
105,10988,12
105,11035,3
105,11036,3
105,11037,3
105,11182,5
105,11414,3
105,12014,3
105,12090,4
105,12159,7
105,12164,3
105,12281,16
105,12336,3
105,12340,4
105,12409,4
105,12446,12
105,13169,1
105,15845,3
105,15846,3
105,16401,3
105,16451,6
105,16461,10
105,16493,1
105,16840,12
105,16975,16
105,17430,6
105,18736,3
105,19270,3
105,19277,12
105,19717,12
105,19863,3
105,19872,3
105,20321,4
105,23336,12
105,23338,12
105,23964,12
105,24140,12
105,24141,1
125,222,1
125,226,6
125,241,2
125,249,6
125,301,1
125,302,1
125,305,7
125,355,9
125,401,8
125,407,2
125,417,3
125,419,2
125,421,4
125,422,3
125,459,4
125,500,2
125,539,1
125,551,1
125,561,1
125,569,9
125,610,1
125,628,2
125,671,4
125,689,3
125,692,3
125,698,1
125,712,5
125,713,2
125,715,3
125,719,2
125,857,3
125,874,3
125,957,3
125,1078,3
125,1079,1
125,1082,3
125,1083,1
125,1086,2
125,1170,8
125,1171,8
125,1238,2
125,1243,7
125,1246,3
125,1247,3
125,1405,1
125,1433,2
125,1467,3
125,1503,5
125,1504,3
125,1505,3
125,1548,8
125,1575,2
125,1576,1
125,1583,2
125,1584,2
125,1590,5
125,1604,2
125,1643,2
125,1644,2
125,1646,5
125,1664,1
125,1670,1
125,1722,5
125,1729,1
125,1754,1
125,1760,3
125,1761,7
125,1770,1
125,1795,1
125,1798,1
125,1849,5
125,1881,5
125,1885,7
125,1946,1
125,1998,4
125,2052,1
125,2072,3
125,2074,3
125,2112,4
125,2117,5
125,2152,3
125,2249,4
125,2251,4
125,2339,4
125,2360,5
125,2410,3
125,2413,1
125,2494,3
125,2637,2
125,2642,3
125,2652,5
125,2670,3
125,2735,5
125,2821,3
125,2976,1
125,3137,5
125,3149,3
125,3161,3
125,3193,1
125,3203,1
125,3266,1
125,3274,3
125,3304,5
125,3349,3
125,3394,3
125,3491,2
125,3533,2
125,3676,2
125,3815,2
125,3914,5
125,3915,5
125,3916,5
125,3917,5
125,3918,5
125,3919,2
125,3920,2
125,3921,2
125,3922,2
125,3923,2
125,3924,2
125,3928,4
125,3929,4
125,3938,2
125,3953,1
125,4500,3
125,4501,3
125,4558,8
125,4698,1
125,4797,2
125,4929,5
125,4930,1
125,4993,1
125,5067,1
125,5090,1
125,5516,2
125,5822,3
125,5876,2
125,5877,3
125,5880,3
125,6111,6
125,6121,3
125,6122,3
125,6157,4
125,6232,1
125,6299,1
125,6338,1
125,6358,2
125,6444,3
125,6515,2
125,6522,3
125,6735,3
125,6813,1
125,7016,2
125,7292,7
125,7301,4
125,7369,5
125,7502,2
125,7511,7
125,7637,2
125,7765,2
125,7932,3
125,7934,3
125,8435,1
125,8495,4
125,8496,3
125,8508,2
125,8743,2
125,8774,4
125,8784,3
125,8823,5
125,8866,1
125,9115,1
125,9155,2
125,9157,9
125,9366,1
125,9372,1
125,9379,3
125,9580,4
125,9581,4
125,9615,2
125,9616,2
125,9617,2
125,9666,3
125,9676,3
125,9735,1
125,9736,1
125,9737,1
125,9738,1
125,9787,3
125,9850,2
125,9851,2
125,9852,2
125,9937,3
125,9977,1
125,9978,1
125,9979,1
125,9980,1
125,9981,1
125,9982,3
125,9983,3
125,10027,3
125,10472,7
125,10608,4
125,10615,4
125,10626,1
125,10632,5
125,10694,2
125,10741,2
125,10761,1
125,10763,1
125,10863,5
125,10917,1
125,10935,1
125,10988,7
125,11035,2
125,11036,2
125,11037,2
125,11155,1
125,11182,2
125,11414,2
125,12014,2
125,12159,9
125,12164,1
125,12281,5
125,12336,3
125,12340,5
125,12409,3
125,12446,5
125,13169,1
125,15845,1
125,15846,1
125,16401,5
125,16451,1
125,16461,8
125,16493,2
125,16840,6
125,16975,5
125,17430,3
125,18736,2
125,19270,1
125,19277,3
125,19717,7
125,19863,4
125,19872,1
125,20321,2
125,23336,7
125,23338,7
125,23964,3
125,24140,3
125,24141,2
222,226,17
222,241,9
222,249,8
222,301,2
222,302,2
222,305,3
222,355,13
222,401,9
222,417,6
222,419,2
222,421,4
222,422,1
222,459,8
222,500,3
222,539,1
222,561,5
222,569,4
222,610,3
222,615,2
222,628,7
222,671,6
222,689,4
222,692,4
222,697,7
222,698,3
222,712,9
222,713,8
222,715,6
222,719,3
222,857,2
222,874,2
222,879,2
222,957,3
222,1078,3
222,1079,2
222,1082,6
222,1086,3
222,1170,10
222,1171,10
222,1238,1
222,1243,13
222,1246,4
222,1247,4
222,1405,1
222,1433,1
222,1437,1
222,1467,4
222,1503,9
222,1504,6
222,1505,1
222,1548,10
222,1576,1
222,1583,1
222,1584,1
222,1590,1
222,1601,2
222,1604,4
222,1643,5
222,1644,4
222,1646,11
222,1664,2
222,1670,5
222,1722,8
222,1729,2
222,1754,2
222,1760,4
222,1761,4
222,1770,3
222,1795,1
222,1798,3
222,1849,1
222,1851,4
222,1881,1
222,1885,6
222,1998,7
222,2052,3
222,2072,2
222,2074,2
222,2075,2
222,2098,2
222,2112,10
222,2117,4
222,2119,2
222,2152,4
222,2249,9
222,2251,9
222,2262,1
222,2339,10
222,2360,8
222,2410,7
222,2413,1
222,2494,6
222,2637,3
222,2642,2
222,2652,9
222,2670,1
222,2735,3
222,2821,4
222,2976,2
222,3137,8
222,3149,4
222,3152,7
222,3155,2
222,3161,4
222,3193,3
222,3203,1
222,3266,1
222,3274,4
222,3304,3
222,3349,6
222,3394,4
222,3533,1
222,3676,7
222,3815,4
222,3914,6
222,3915,6
222,3916,6
222,3917,6
222,3918,6
222,3928,5
222,3929,5
222,3938,8
222,3953,2
222,4500,4
222,4501,4
222,4558,10
222,4698,3
222,4797,5
222,4929,8
222,4930,5
222,4993,2
222,5067,2
222,5090,1
222,5516,7
222,5822,2
222,5876,3
222,5877,4
222,5880,4
222,6111,8
222,6121,3
222,6122,3
222,6157,6
222,6232,2
222,6299,2
222,6338,1
222,6358,2
222,6444,4
222,6515,3
222,6522,3
222,6735,3
222,6813,2
222,7016,8
222,7292,3
222,7301,4
222,7369,4
222,7502,3
222,7511,13
222,7637,3
222,7765,4
222,7932,4
222,7934,4
222,8435,1
222,8495,6
222,8496,4
222,8508,1
222,8774,6
222,8784,2
222,8823,3
222,8866,2
222,9155,7
222,9157,13
222,9366,3
222,9372,3
222,9379,1
222,9580,6
222,9581,6
222,9615,1
222,9616,1
222,9617,1
222,9666,4
222,9667,2
222,9676,4
222,9735,2
222,9736,3
222,9737,3
222,9738,3
222,9743,4
222,9787,2
222,9850,3
222,9851,3
222,9852,3
222,9937,1
222,9977,3
222,9978,3
222,9979,3
222,9980,3
222,9981,3
222,9982,3
222,9983,3
222,10027,4
222,10472,13
222,10608,9
222,10615,8
222,10626,1
222,10632,3
222,10694,3
222,10741,7
222,10761,40
222,10763,40
222,10859,1
222,10863,3
222,10917,2
222,10935,3
222,10988,13
222,11035,2
222,11036,2
222,11037,2
222,11155,2
222,11182,3
222,11414,2
222,12014,1
222,12159,4
222,12164,2
222,12281,9
222,12336,3
222,12340,6
222,12409,6
222,12446,8
222,13169,1
222,15845,1
222,15846,1
222,16401,1
222,16451,3
222,16461,10
222,16493,1
222,16840,9
222,16975,9
222,17430,3
222,18736,4
222,19270,1
222,19277,4
222,19717,13
222,19863,9
222,19872,1
222,20321,8
222,23336,13
222,23338,13
222,23964,4
222,24140,4
222,24141,3
226,241,10
226,249,13
226,251,1
226,301,1
226,302,1
226,305,8
226,355,27
226,401,11
226,407,2
226,417,9
226,419,5
226,421,7
226,422,4
226,459,11
226,493,5
226,500,10
226,539,1
226,551,1
226,561,12
226,569,24
226,610,6
226,615,1
226,628,13
226,639,2
226,671,8
226,689,6
226,692,6
226,697,5
226,698,6
226,712,13
226,713,12
226,715,4
226,719,5
226,758,2
226,857,7
226,874,2
226,879,1
226,957,7
226,1078,7
226,1079,3
226,1082,8
226,1086,5
226,1170,16
226,1171,16
226,1238,1
226,1243,22
226,1246,3
226,1247,3
226,1433,6
226,1437,2
226,1467,7
226,1503,12
226,1504,8
226,1505,3
226,1548,16
226,1575,1
226,1576,4
226,1583,7
226,1584,7
226,1590,4
226,1601,1
226,1604,7
226,1643,8
226,1644,6
226,1645,5
226,1646,31
226,1664,4
226,1670,19
226,1722,14
226,1729,1
226,1754,1
226,1760,6
226,1761,10
226,1770,5
226,1798,3
226,1849,3
226,1851,16
226,1881,4
226,1885,9
226,1998,10
226,2042,2
226,2052,13
226,2072,7
226,2074,7
226,2075,4
226,2098,1
226,2112,14
226,2117,6
226,2119,3
226,2152,6
226,2249,11
226,2251,11
226,2262,1
226,2339,14
226,2360,11
226,2410,15
226,2413,2
226,2494,10
226,2637,7
226,2642,2
226,2652,13
226,2668,2
226,2670,2
226,2735,6
226,2821,6
226,2976,5
226,3137,11
226,3149,6
226,3152,5
226,3155,1
226,3161,3
226,3193,13
226,3203,7
226,3274,7
226,3304,6
226,3349,11
226,3394,4
226,3491,7
226,3533,3
226,3676,13
226,3815,9
226,3914,8
226,3915,8
226,3916,8
226,3917,8
226,3918,8
226,3919,2
226,3920,2
226,3921,2
226,3922,2
226,3923,2
226,3924,2
226,3928,12
226,3929,12
226,3938,12
226,3953,1
226,4122,1
226,4500,7
226,4501,7
226,4556,1
226,4558,16
226,4638,1
226,4639,1
226,4670,5
226,4698,6
226,4797,8
226,4929,16
226,4930,19
226,4993,3
226,5067,3
226,5090,4
226,5516,13
226,5822,7
226,5876,7
226,5877,7
226,5880,7
226,6111,11
226,6121,8
226,6122,8
226,6157,8
226,6232,1
226,6299,1
226,6338,3
226,6358,5
226,6444,6
226,6515,7
226,6522,8
226,6735,7
226,6813,1
226,7016,12
226,7292,3
226,7301,7
226,7369,6
226,7502,4
226,7511,25
226,7637,7
226,7765,3
226,7932,7
226,7934,7
226,8435,3
226,8495,8
226,8496,7
226,8508,3
226,8743,3
226,8774,8
226,8784,7
226,8823,6
226,8866,3
226,9115,1
226,9155,13
226,9157,27
226,9366,6
226,9372,6
226,9379,3
226,9388,2
226,9580,8
226,9581,8
226,9615,3
226,9616,3
226,9617,3
226,9666,7
226,9667,1
226,9676,7
226,9735,1
226,9736,5
226,9737,5
226,9738,5
226,9743,16
226,9787,7
226,9850,7
226,9851,7
226,9852,7
226,9937,2
226,9977,6
226,9978,6
226,9979,6
226,9980,6
226,9981,6
226,9982,8
226,9983,8
226,10027,9
226,10472,22
226,10608,11
226,10615,11
226,10632,6
226,10694,6
226,10741,13
226,10761,17
226,10763,17
226,10859,1
226,10863,6
226,10917,7
226,10935,5
226,10988,22
226,11035,5
226,11036,5
226,11037,5
226,11155,1
226,11182,4
226,11414,5
226,12014,3
226,12159,24
226,12164,4
226,12281,12
226,12336,7
226,12340,5
226,12409,8
226,12446,14
226,13169,1
226,15845,4
226,15846,4
226,16401,4
226,16451,6
226,16461,16
226,16493,7
226,16840,18
226,16975,12
226,17430,7
226,18722,1
226,18736,3
226,19270,7
226,19277,7
226,19717,22
226,19863,11
226,19872,7
226,20321,12
226,23336,22
226,23338,22
226,23964,7
226,24140,7
226,24141,5
241,249,9
241,251,1
241,301,1
241,302,1
241,305,4
241,355,14
241,401,10
241,407,2
241,417,6
241,419,4
241,421,6
241,422,2
241,459,12
241,493,1
241,500,5
241,539,1
241,551,1
241,561,6
241,569,7
241,610,3
241,628,3
241,639,2
241,671,7
241,689,2
241,692,2
241,697,9
241,698,8
241,712,13
241,713,6
241,715,10
241,719,3
241,758,3
241,857,4
241,874,2
241,879,2
241,957,4
241,1078,3
241,1079,6
241,1082,4
241,1083,3
241,1086,3
241,1170,8
241,1171,8
241,1243,12
241,1246,4
241,1247,4
241,1405,2
241,1433,2
241,1437,1
241,1467,4
241,1503,9
241,1504,5
241,1548,8
241,1575,2
241,1576,1
241,1583,2
241,1584,2
241,1590,2
241,1604,1
241,1643,6
241,1644,4
241,1645,1
241,1646,15
241,1664,5
241,1670,5
241,1722,12
241,1729,1
241,1754,1
241,1760,2
241,1761,4
